,latitude,longitude,Sales Amount (Actual),Distributors,Off premise,On premise,Others,cluster_group
253,40.7152,-73.9877,10.010366914163225,0,0,1,0,3
254,40.7313,-73.9892,8.932740634865914,0,0,1,0,3
255,40.7339,-74.0054,7.218176838403408,0,0,1,0,0
262,40.7255,-73.9983,7.02108396428914,0,0,1,0,0
264,40.7402,-73.9996,8.010718090387504,0,0,1,0,0
266,40.7339,-74.0054,6.747586526829315,0,0,1,0,0
270,40.7313,-73.9892,8.692490133273228,0,0,1,0,0
274,40.7262,-73.9796,8.132577221644034,0,0,1,0,0
282,40.7143,-74.006,4.134686441505479,0,0,1,0,0
286,40.7185,-74.0025,9.243388226022383,0,0,1,0,3
291,40.7101,-74.0013,7.557994958530806,0,0,1,0,0
292,40.7101,-74.0013,10.604404470360434,0,0,1,0,3
293,40.7339,-74.0054,9.87175949916973,0,0,1,0,3
294,40.7262,-73.9796,9.46990070911094,0,0,1,0,3
295,40.7339,-74.0054,9.43053558119822,0,0,1,0,3
297,40.7255,-73.9983,10.2054666832376,0,0,1,0,3
298,40.7101,-74.0013,9.049889890000397,0,0,1,0,3
299,40.7402,-73.9996,9.924553107493534,0,0,1,0,3
303,40.7255,-73.9983,5.817111159963204,0,0,1,0,0
306,40.7255,-73.9983,5.687653092726317,0,0,1,0,0
308,40.7339,-74.0054,4.736198448394496,0,0,1,0,0
311,40.7339,-74.0054,8.661466680572662,0,0,1,0,0
312,40.7152,-73.9877,8.733594061863055,0,0,1,0,0
314,40.7262,-73.9796,8.521185212685776,0,0,1,0,0
318,40.7484,-73.9967,5.780743515792329,0,0,1,0,0
322,40.7339,-74.0054,8.591929537530255,0,0,1,0,0
325,40.7313,-73.9892,8.213923595622743,0,0,1,0,0
327,40.7262,-73.9796,11.25483636893333,0,0,1,0,3
328,40.7185,-74.0025,8.73294952429643,0,0,1,0,0
329,40.7484,-73.9967,7.600902459542082,0,0,1,0,0
331,40.7313,-73.9892,7.038783541388542,0,0,1,0,0
335,40.7185,-74.0025,6.927557906278317,0,0,1,0,0
337,40.7185,-74.0025,6.039301876522142,0,0,1,0,0
339,40.7339,-74.0054,7.4999765409521215,0,0,1,0,0
345,40.7339,-74.0054,10.50870502547901,0,0,1,0,3
346,40.7152,-73.9877,5.545177444479562,0,0,1,0,0
354,40.7185,-74.0025,8.043020885298283,0,0,1,0,0
355,40.7313,-73.9892,7.830425617820331,0,0,1,0,0
360,40.7185,-74.0025,5.91350300563827,0,0,1,0,0
366,40.7339,-74.0054,9.737432968206045,0,0,1,0,3
367,40.7313,-73.9892,5.545177444479562,0,0,1,0,0
368,40.7339,-74.0054,11.375692945905021,0,0,1,0,3
369,40.7402,-73.9996,12.112643610263472,0,0,1,0,3
370,40.7152,-73.9877,12.02381416674676,0,0,1,0,3
372,40.7402,-73.9996,12.836155524423502,0,0,1,0,3
373,40.7402,-73.9996,10.37835433744785,0,0,1,0,3
374,40.7402,-73.9996,11.429873475613718,0,0,1,0,3
375,40.7185,-74.0025,7.966916161222652,0,0,1,0,0
376,40.7402,-73.9996,8.044947049617722,0,0,1,0,0
377,40.7339,-74.0054,5.529429087511423,0,0,1,0,0
379,40.7339,-74.0054,11.797350363585949,0,0,1,0,3
381,40.7185,-74.0025,9.277213665410473,0,0,1,0,3
382,40.7339,-74.0054,5.703782474656201,0,0,1,0,0
383,40.7402,-73.9996,9.488088768436102,0,0,1,0,3
384,40.7185,-74.0025,8.296795865770052,0,0,1,0,0
385,40.7152,-73.9877,7.886081401775745,0,0,1,0,0
386,40.7402,-73.9996,12.169481687537735,0,0,1,0,3
387,40.7402,-73.9996,8.233768709217097,0,0,1,0,0
388,40.7313,-73.9892,8.612696079923774,0,0,1,0,0
389,40.7339,-74.0054,10.247945674069102,0,0,1,0,3
390,40.7402,-73.9996,12.639321129610295,0,0,1,0,3
392,40.7185,-74.0025,8.997642078523512,0,0,1,0,3
393,40.7339,-74.0054,10.066813156584484,0,0,1,0,3
394,40.7313,-73.9892,7.662937850461535,0,0,1,0,0
395,40.7313,-73.9892,8.944028325260595,0,0,1,0,3
396,40.7484,-73.9967,6.837332814685591,0,0,1,0,0
397,40.7313,-73.9892,11.910613409186455,0,0,1,0,3
398,40.7402,-73.9996,8.504715669905124,0,0,1,0,0
