,rule,support,confidence,Lift
204,['ITMERB7511']->['ITPUCP7513'],0.05,0.342465753,0.342465753
205,['ITMERB7511']->['ITPUND7513'],0.054,0.369863014,0.369863014
206,['ITMERB7511']->['ITSGCEVN7511'],0.07,0.479452055,0.479452055
207,['ITMERB7511']->['ITSNCO7513'],0.074,0.506849315,0.506849315
208,['ITMERB7511']->['ITSTVALP7513'],0.054,0.369863014,0.369863014
209,['ITMERB7511']->['ITTDAG7511'],0.058,0.397260274,0.397260274
210,['ITMERB7511']->['ITTDAG7512'],0.058,0.397260274,0.397260274
211,['ITMERB7511']->['ITTDFG7513'],0.066,0.452054795,0.452054795
212,['ITMERB7511']->['ITTDTA0875'],0.066,0.452054795,0.452054795
213,['ITPNVM7513']->['ITSGCEVN7511'],0.052,0.634146341,0.634146341
214,['ITPNVM7513']->['ITSNCO7513'],0.058,0.707317073,0.707317073
215,['ITPNVM7513']->['ITSTVALP7513'],0.054,0.658536585,0.658536585
216,['ITPRBATO7510']->['ITSGCEVN7511'],0.05,0.581395349,0.581395349
217,['ITPRBATO7510']->['ITTDFG7513'],0.058,0.674418605,0.674418605
218,['ITPUCP1175']->['ITTDAG1075'],0.058,0.805555556,0.805555556
219,['ITPUCP7515']->['ITPUND7515'],0.054,0.6,0.6
220,['ITPUND7513']->['ITTDFG7513'],0.05,0.641025641,0.641025641
221,['ITSBAM1LNV']->['ITSBCA1LNV'],0.088,0.423076923,0.423076923
222,['ITSBAM1LNV']->['ITVIASMIL'],0.068,0.326923077,0.326923077
223,['ITSBCA1LNV']->['ITVIASMIL'],0.052,0.382352941,0.382352941
224,['ITSGCEVN7511']->['ITSNCO7513'],0.074,0.616666667,0.616666667
225,['ITSGCEVN7511']->['ITSTRCE7512'],0.052,0.433333333,0.433333333
226,['ITSGCEVN7511']->['ITSTVALP7513'],0.054,0.45,0.45
227,['ITSGCEVN7511']->['ITTDAG7512'],0.07,0.583333333,0.583333333
228,['ITSGCEVN7511']->['ITTDFG7513'],0.06,0.5,0.5
229,['ITSNCO7513']->['ITSTRCE7512'],0.058,0.46031746,0.46031746
230,['ITSNCO7513']->['ITSTVALP7513'],0.056,0.444444444,0.444444444
231,['ITSNCO7513']->['ITTDAG7512'],0.08,0.634920635,0.634920635
232,['ITSNCO7513']->['ITTDFG7513'],0.05,0.396825397,0.396825397
233,['ITSTVALP7513']->['ITTDAG7512'],0.05,0.595238095,0.595238095
234,"['ITARARPG7513']->['ITARARPR1175', 'ITGHLHPN7512']",0.054,0.509433962,0.509433962
235,"['ITARARPG7513']->['ITARARPR1175', 'ITGHTLPG7513']",0.052,0.490566038,0.490566038
236,"['ITARARPG7513']->['ITMERB7511', 'ITARARPR1175']",0.056,0.528301887,0.528301887
237,"['ITARARPG7513']->['ITCASS7510', 'ITGHLHPG7513']",0.05,0.471698113,0.471698113
238,"['ITARARPG7513']->['ITCASS7510', 'ITGHTLPG7513']",0.058,0.547169811,0.547169811
239,"['ITARARPG7513']->['ITMERB7511', 'ITCASS7510']",0.054,0.509433962,0.509433962
240,"['ITARARPG7513']->['ITGHLHPG7513', 'ITCMMA7512']",0.052,0.490566038,0.490566038
241,"['ITARARPG7513']->['ITGHLHPN7512', 'ITCMMA7512']",0.054,0.509433962,0.509433962
242,"['ITARARPG7513']->['ITCMMA7512', 'ITGHTLPG7513']",0.058,0.547169811,0.547169811
243,"['ITARARPG7513']->['ITMERB7511', 'ITCMMA7512']",0.054,0.509433962,0.509433962
244,"['ITARARPG7513']->['ITGHLHPN7512', 'ITGHLHPG7513']",0.058,0.547169811,0.547169811
245,"['ITARARPG7513']->['ITGHLHPG7513', 'ITGHTLPG7513']",0.064,0.603773585,0.603773585
246,"['ITARARPG7513']->['ITMERB7511', 'ITGHLHPG7513']",0.054,0.509433962,0.509433962
247,"['ITARARPG7513']->['ITTDFG7513', 'ITGHLHPG7513']",0.05,0.471698113,0.471698113
248,"['ITARARPG7513']->['ITGHLHPN7512', 'ITGHTLPG7513']",0.062,0.58490566,0.58490566
249,"['ITARARPG7513']->['ITMERB7511', 'ITGHLHPN7512']",0.058,0.547169811,0.547169811
250,"['ITARARPG7513']->['ITGHLHPN7512', 'ITSGCEVN7511']",0.05,0.471698113,0.471698113
251,"['ITARARPG7513']->['ITTDFG7513', 'ITGHLHPN7512']",0.056,0.528301887,0.528301887
252,"['ITARARPG7513']->['ITMERB7511', 'ITGHTLPG7513']",0.06,0.566037736,0.566037736
253,"['ITARARPG7513']->['ITTDFG7513', 'ITGHTLPG7513']",0.052,0.490566038,0.490566038
254,"['ITARARPG7513']->['ITTDFG7513', 'ITMERB7511']",0.052,0.490566038,0.490566038
255,"['ITARARPG7513']->['ITTDFG7513', 'ITSGCEVN7511']",0.05,0.471698113,0.471698113
256,"['ITARARSG7513']->['ITBSRSNV75', 'ITARARPR1175']",0.054,0.490909091,0.490909091
257,"['ITARARSG7513']->['ITARARPR1175', 'ITSNCO7513']",0.068,0.618181818,0.618181818
258,"['ITARARSG7513']->['ITTDAG7512', 'ITARARPR1175']",0.058,0.527272727,0.527272727
259,"['ITMERB7511']->['ITBSDJNV75', 'ITARARPR1175']",0.06,0.410958904,0.410958904
260,"['ITSNCO7513']->['ITBSDJNV75', 'ITARARPR1175']",0.054,0.428571429,0.428571429
261,"['ITMERB7511']->['ITBSRSNV75', 'ITARARPR1175']",0.062,0.424657534,0.424657534
262,"['ITSNCO7513']->['ITBSRSNV75', 'ITARARPR1175']",0.066,0.523809524,0.523809524
263,"['ITTDAG7512']->['ITBSRSNV75', 'ITARARPR1175']",0.056,0.509090909,0.509090909
264,"['ITCASS7510']->['ITMERB7511', 'ITARARPR1175']",0.05,0.555555556,0.555555556
265,"['ITGHLHPG7514']->['ITARARPR1175', 'ITGHTLPG7514']",0.052,0.684210526,0.684210526
266,"['ITGHLHPN7512']->['ITARARPR1175', 'ITGHTLPG7513']",0.05,0.531914894,0.531914894
267,"['ITGHLHPN7512']->['ITARARPR1175', 'ITLALCH7512']",0.05,0.531914894,0.531914894
268,"['ITGHLHPN7512']->['ITMERB7511', 'ITARARPR1175']",0.056,0.595744681,0.595744681
269,"['ITGHLHPN7512']->['ITARARPR1175', 'ITSNCO7513']",0.05,0.531914894,0.531914894
270,"['ITGHTLCB7512']->['ITARARPR1175', 'ITSNCO7513']",0.05,0.694444444,0.694444444
271,"['ITGHTLPG7513']->['ITMERB7511', 'ITARARPR1175']",0.052,0.509803922,0.509803922
272,"['ITLALCH7512']->['ITMERB7511', 'ITARARPR1175']",0.054,0.613636364,0.613636364
273,"['ITLALCH7512']->['ITARARPR1175', 'ITSNCO7513']",0.05,0.568181818,0.568181818
274,"['ITLALCH7512']->['ITARARPR1175', 'ITSTVALP7513']",0.05,0.568181818,0.568181818
275,"['ITLUIPG7513']->['ITARARPR1175', 'ITSNCO7513']",0.05,0.555555556,0.555555556
276,"['ITMERB7511']->['ITARARPR1175', 'ITSNCO7513']",0.058,0.397260274,0.397260274
277,"['ITSBAM1LNV']->['ITSBCA1LNV', 'ITARARPR1175']",0.052,0.25,0.25
278,"['ITSGCEVN7511']->['ITARARPR1175', 'ITSNCO7513']",0.056,0.466666667,0.466666667
279,"['ITSGCEVN7511']->['ITTDAG7512', 'ITARARPR1175']",0.05,0.416666667,0.416666667
280,"['ITSNCO7513']->['ITTDAG7512', 'ITARARPR1175']",0.068,0.53968254,0.53968254
281,"['ITARARSG7513']->['ITBSRSNV75', 'ITSNCO7513']",0.054,0.490909091,0.490909091
282,"['ITARARSG7513']->['ITTDAG7512', 'ITSNCO7513']",0.058,0.527272727,0.527272727
283,"['ITARGA7513']->['ITMERB7511', 'ITCASS7510']",0.05,0.641025641,0.641025641
284,"['ITCASS7510']->['ITBSDJNV75', 'ITMERB7511']",0.052,0.577777778,0.577777778
285,"['ITMERB7511']->['ITBSRSNV75', 'ITSNCO7513']",0.05,0.342465753,0.342465753
286,"['ITSGCEVN7511']->['ITBSRSNV75', 'ITSNCO7513']",0.054,0.45,0.45
287,"['ITSGCEVN7511']->['ITTDAG7512', 'ITBSRSNV75']",0.052,0.433333333,0.433333333
288,"['ITSNCO7513']->['ITTDAG7512', 'ITBSRSNV75']",0.062,0.492063492,0.492063492
289,"['ITCASS7510']->['ITGHLHPG7513', 'ITGHTLPG7513']",0.056,0.622222222,0.622222222
290,"['ITCASS7510']->['ITGHLHPN7512', 'ITGHTLPG7513']",0.05,0.555555556,0.555555556
291,"['ITCASS7510']->['ITMERB7511', 'ITGHTLPG7513']",0.058,0.644444444,0.644444444
292,"['ITCMMA7512']->['ITGHLHPG7513', 'ITGHTLPG7513']",0.056,0.717948718,0.717948718
293,"['ITCMMA7512']->['ITGHLHPN7512', 'ITGHTLPG7513']",0.05,0.641025641,0.641025641
294,"['ITCMMA7512']->['ITMERB7511', 'ITGHTLPG7513']",0.056,0.717948718,0.717948718
295,"['ITGHLHPG7513']->['ITGHLHPN7512', 'ITGHTLPG7513']",0.06,0.697674419,0.697674419
296,"['ITGHLHPG7513']->['ITMERB7511', 'ITGHLHPN7512']",0.052,0.604651163,0.604651163
297,"['ITGHLHPG7513']->['ITMERB7511', 'ITGHTLPG7513']",0.058,0.674418605,0.674418605
298,"['ITGHLHPN7512']->['ITMERB7511', 'ITGHTLPG7513']",0.056,0.595744681,0.595744681
299,"['ITGHLHPN7512']->['ITMERB7511', 'ITLALCH7512']",0.054,0.574468085,0.574468085
300,"['ITGHLHPN7512']->['ITTDFG7513', 'ITMERB7511']",0.054,0.574468085,0.574468085
301,"['ITGHTLPG7513']->['ITTDFG7513', 'ITMERB7511']",0.052,0.509803922,0.509803922
302,"['ITLALCH7512']->['ITMERB7511', 'ITSNCO7513']",0.05,0.568181818,0.568181818
303,"['ITSGCEVN7511']->['ITTDAG7512', 'ITSNCO7513']",0.058,0.483333333,0.483333333
304,"['ITARARPG7513']->['ITCMMA7512', 'ITGHLHPG7513', 'ITGHTLPG7513']",0.05,0.471698113,0.471698113
305,"['ITARARPG7513']->['ITMERB7511', 'ITCMMA7512', 'ITGHTLPG7513']",0.05,0.471698113,0.471698113
306,"['ITARARPG7513']->['ITGHLHPN7512', 'ITGHLHPG7513', 'ITGHTLPG7513']",0.054,0.509433962,0.509433962
307,"['ITARARPG7513']->['ITMERB7511', 'ITGHLHPG7513', 'ITGHTLPG7513']",0.05,0.471698113,0.471698113
308,"['ITARARPG7513']->['ITMERB7511', 'ITGHLHPN7512', 'ITGHTLPG7513']",0.05,0.471698113,0.471698113
309,"['ITARARSG7513']->['ITBSRSNV75', 'ITARARPR1175', 'ITSNCO7513']",0.05,0.454545455,0.454545455
310,"['ITARARSG7513']->['ITTDAG7512', 'ITARARPR1175', 'ITSNCO7513']",0.054,0.490909091,0.490909091
311,"['ITSNCO7513']->['ITTDAG7512', 'ITBSRSNV75', 'ITARARPR1175']",0.05,0.396825397,0.396825397
