,No_,Name,Address,City,Customer Posting Group,Salesperson Code,Shipment Method Code,Country_Region Code,Gen_ Bus_ Posting Group,County,CityState,Customer,StateCountry,Post Code,GeoColumn With Address,GeoColumn,State Area Code,State Zone Code,State Location Code,Mkt Segment,On premise/off premise,longitude,latitude,coordinates
0,25NINT,5 NINTH,5 9TH AVENUE,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,25NINT 5 NINTH,"NY, ",10014,5 9TH AVENUE NEW YORK NY  10014 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,GREENWICH VILLAGE,Metro,On premise,-74.0054,40.7339,"[-74.0054, 40.7339]"
1,2ACCAP,ACCAPELLA RESTAURANT,1 HUDSON STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ACCAP ACCAPELLA RESTAURANT,"NY, ",10013,1 HUDSON STREET NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
2,2ACRE,HUNDRED ACRES,38 MACDOUGAL STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ACRE HUNDRED ACRES,"NY, ",10012,38 MACDOUGAL STREET NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
3,2ADRIA,ADRIA WINE BAR,26 PRINCE STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ADRIA ADRIA WINE BAR,"NY, ",10012,26 PRINCE STREET NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
4,2ALISO,ALISON ON DOMINICK ST,38 DOMINICK ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ALISO ALISON ON DOMINICK ST,"NY, ",10013,38 DOMINICK ST. NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
5,2ANDRE,DA ANDREA DO NOT USE IT,557 HUDSON STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ANDRE DA ANDREA DO NOT USE IT,"NY, ",10014,557 HUDSON STREET NEW YORK NY  10014 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,GREENWICH VILLAGE,Metro,On premise,-74.0054,40.7339,"[-74.0054, 40.7339]"
6,2ANF,ANFORA,34 8TH AVENUE,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ANF ANFORA,"NY, ",10014,34 8TH AVENUE NEW YORK NY  10014 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,GREENWICH VILLAGE,Metro,On premise,-74.0054,40.7339,"[-74.0054, 40.7339]"
7,2ANGEL,ANGELINA'S @ THE LOUNGE,164 MERCER STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ANGEL ANGELINA'S @ THE LOUNGE,"NY, ",10012,164 MERCER STREET NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
8,2ANNI,ANNISA,13 BARROW ST,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ANNI ANNISA,"NY, ",10014,13 BARROW ST NEW YORK NY  10014 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,GREENWICH VILLAGE,Metro,On premise,-74.0054,40.7339,"[-74.0054, 40.7339]"
9,2ANTIQ,ANTIQUE GARAGE,41 MERCER STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ANTIQ ANTIQUE GARAGE,"NY, ",10013,41 MERCER STREET NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
10,2ANTON,ANTONIO REST,140 W 13TH ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ANTON ANTONIO REST,"NY, ",10011,140 W 13TH ST. NEW YORK NY  10011 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,CHELSEA,Metro,On premise,-73.9996,40.7402,"[-73.9996, 40.7402]"
11,2APAR,APARTMENT 13,115 AVENUE C,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2APAR APARTMENT 13,"NY, ",10009,115 AVENUE C NEW YORK NY  10009 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,EAST VILLAGE,Metro,On premise,-73.9796,40.7262,"[-73.9796, 40.7262]"
12,2ARGEN,INDUSTRIA ARGENTINA RESTAURANT,329 GREENWICH ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ARGEN INDUSTRIA ARGENTINA RESTAURANT,"NY, ",10013,329 GREENWICH ST. NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
13,2ARLER,ARLECCHINO RESTAURANT,192 BLEECKER ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ARLER ARLECCHINO RESTAURANT,"NY, ",10012,192 BLEECKER ST. NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
14,2ASSEN,ASSENZIO RESTAURANT,205 EAST 4TH STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ASSEN ASSENZIO RESTAURANT,"NY, ",10009,205 EAST 4TH STREET NEW YORK NY  10009 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,EAST VILLAGE,Metro,On premise,-73.9796,40.7262,"[-73.9796, 40.7262]"
15,2ASTIR,ASTI RESTAURANT,13 E.12TH ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ASTIR ASTI RESTAURANT,"NY, ",10003,13 E.12TH ST. NEW YORK NY  10003 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,BOWERY,Metro,On premise,-73.9892,40.7313,"[-73.9892, 40.7313]"
16,2AZRES,AZ,21 W. 17TH ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2AZRES AZ,"NY, ",10011,21 W. 17TH ST. NEW YORK NY  10011 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,CHELSEA,Metro,On premise,-73.9996,40.7402,"[-73.9996, 40.7402]"
17,2BACCO,DA BACCO,150 SPRING ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BACCO DA BACCO,"NY, ",10012,150 SPRING ST. NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
18,2BALLA,BALLATO,195 GRAND STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BALLA BALLATO,"NY, ",10013,195 GRAND STREET NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
19,2BARM,BARBARINI MERCATO,225  FRONT STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BARM BARBARINI MERCATO,"NY, ",10038,225  FRONT STREET NEW YORK NY  10038 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,WALL STREET,Metro,On premise,-74.0013,40.7101,"[-74.0013, 40.7101]"
20,2BAROL,BAROLO,398 WEST BROADWAY,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BAROL BAROLO,"NY, ",10012,398 WEST BROADWAY NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
21,2BARPA,BAR PANINI LTD,31 NORTH MOORE STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BARPA BAR PANINI LTD,"NY, ",10013,31 NORTH MOORE STREET NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
22,2BASSO,BASSO EAST,198 ORCHARD STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BASSO BASSO EAST,"NY, ",10002,198 ORCHARD STREET NEW YORK NY  10002 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,LOWER EAST SIDE,Metro,On premise,-73.9877,40.7152,"[-73.9877, 40.7152]"
23,2BAYA,BAYARD'S,1 HANOVER S & 52 STONE ST,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BAYA BAYARD'S,"NY, ",10004,1 HANOVER S & 52 STONE ST NEW YORK NY  10004 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,BATTERY PARK,Metro,On premise,-74.006,40.7143,"[-74.006, 40.7143]"
24,2BB,BURGER &  BARREL,25 W HOUSTON ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BB BURGER &  BARREL,"NY, ",10012,25 W HOUSTON ST. NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
25,2BD,CENTRICO,211 W. BROADWAY,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BD CENTRICO,"NY, ",10013,211 W. BROADWAY NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
26,2BEAG,THE BEAGLE,162 AVENUE A,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BEAG THE BEAGLE,"NY, ",10009,162 AVENUE A NEW YORK NY  10009 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,EAST VILLAGE,Metro,On premise,-73.9796,40.7262,"[-73.9796, 40.7262]"
27,2BED,BED NY,530 W.27TH STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BED BED NY,"NY, ",10001,530 W.27TH STREET NEW YORK NY  10001 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,CHELSEA,Metro,On premise,-73.9967,40.7484,"[-73.9967, 40.7484]"
28,2BELLAV,BELLAVITAE,24 MINETTA LANE,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BELLAV BELLAVITAE,"NY, ",10012,24 MINETTA LANE NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
29,2BHILL,BLUE HILL,75 WASHINGTON PLACE,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BHILL BLUE HILL,"NY, ",10011,75 WASHINGTON PLACE NEW YORK NY  10011 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,CHELSEA,Metro,On premise,-73.9996,40.7402,"[-73.9996, 40.7402]"
30,2BIBLI,BIBLIOTECA RESTAURANT,337B WEST BROADWAY,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BIBLI BIBLIOTECA RESTAURANT,"NY, ",10012,337B WEST BROADWAY NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
31,2BILT,BILTMORE ROOM,290 EIGHTH AVENUE,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BILT BILTMORE ROOM,"NY, ",10001,290 EIGHTH AVENUE NEW YORK NY  10001 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,CHELSEA,Metro,On premise,-73.9967,40.7484,"[-73.9967, 40.7484]"
32,2BIVIO,BIVIO RESTAURANT,637 HUDSON STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BIVIO BIVIO RESTAURANT,"NY, ",10014,637 HUDSON STREET NEW YORK NY  10014 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,GREENWICH VILLAGE,Metro,On premise,-74.0054,40.7339,"[-74.0054, 40.7339]"
33,2BNYC,BRICK NYC,22 WARREN STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BNYC BRICK NYC,"NY, ",10007,22 WARREN STREET NEW YORK NY  10007 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,FINANCIAL DISTRICT,Metro,On premise,-74.007,40.7139,"[-74.007, 40.7139]"
34,2BOOM,BOOM,152 SPRING STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BOOM BOOM,"NY, ",10012,152 SPRING STREET NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
35,2BORGO,BORGO ANTICO,22 E. 13TH ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BORGO BORGO ANTICO,"NY, ",10003,22 E. 13TH ST. NEW YORK NY  10003 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,BOWERY,Metro,On premise,-73.9892,40.7313,"[-73.9892, 40.7313]"
36,2BOUL,BOULEY LEROY BAKERY,130 WEST BROADWAY,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BOUL BOULEY LEROY BAKERY,"NY, ",10005,130 WEST BROADWAY NEW YORK NY  10005 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,LOWER MANHATTAN,Metro,On premise,-74.0083,40.7056,"[-74.0083, 40.7056]"
37,2BREAD,BREAD IN TRIBECA,301 CHURCH STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BREAD BREAD IN TRIBECA,"NY, ",10013,301 CHURCH STREET NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
38,2BRIDC,BRIDGE CAFE,16 16 1/2 DOVER STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BRIDC BRIDGE CAFE,"NY, ",10038,16 16 1/2 DOVER STREET NEW YORK NY  10038 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,WALL STREET,Metro,On premise,-74.0013,40.7101,"[-74.0013, 40.7101]"
39,2BSHI,508 RESTAURANT,508 GREENWICH STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BSHI 508 RESTAURANT,"NY, ",10013,508 GREENWICH STREET NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
40,2BUBBL,BUBBLE LOUNGE,228 WEST BROADWAY,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BUBBL BUBBLE LOUNGE,"NY, ",10013,228 WEST BROADWAY NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
41,2BUSSO,BUSSOLA BAR & GRILL,65 4TH AVE. BTWN 9TH AND 10TH,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2BUSSO BUSSOLA BAR & GRILL,"NY, ",10003,65 4TH AVE. BTWN 9TH AND 10TH NEW YORK NY  10003 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,BOWERY,Metro,On premise,-73.9892,40.7313,"[-73.9892, 40.7313]"
42,2CABON,CAFFE BONDI,7 WEST 20TH ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CABON CAFFE BONDI,"NY, ",10011,7 WEST 20TH ST. NEW YORK NY  10011 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,CHELSEA,Metro,On premise,-73.9996,40.7402,"[-73.9996, 40.7402]"
43,2CANA,CANA WINE BAR,49 WEST 20TH ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CANA CANA WINE BAR,"NY, ",10011,49 WEST 20TH ST. NEW YORK NY  10011 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,CHELSEA,Metro,On premise,-73.9996,40.7402,"[-73.9996, 40.7402]"
44,2CANTIN,LA CANTINA,38 8TH AVENUE,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CANTIN LA CANTINA,"NY, ",10014,38 8TH AVENUE NEW YORK NY  10014 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,GREENWICH VILLAGE,Metro,On premise,-74.0054,40.7339,"[-74.0054, 40.7339]"
45,2CAPSO,CAPSOUTO VRERES,451 WASHINGTON STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CAPSO CAPSOUTO VRERES,"NY, ",10013,451 WASHINGTON STREET NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
46,2CATA,CATA,245 BOWERY ENTRANCE ON STANTON,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CATA CATA,"NY, ",10012,245 BOWERY ENTRANCE ON STANTON NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
47,2CELL,CELLAR 58,58  2ND AVENUE,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CELL CELLAR 58,"NY, ",10003,58  2ND AVENUE NEW YORK NY  10003 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,BOWERY,Metro,On premise,-73.9892,40.7313,"[-73.9892, 40.7313]"
48,2CEND,CENDRILLON,45 MERCER STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CEND CENDRILLON,"NY, ",10013,45 MERCER STREET NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
49,2CERA,BIANCA,5 BLEECKER ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CERA BIANCA,"NY, ",10012,5 BLEECKER ST. NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
50,2CERC,CERCE ROUGE,241 W.BROADWAY,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CERC CERCE ROUGE,"NY, ",10013,241 W.BROADWAY NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
51,2CHANT,CHANTERELLE,6 HARRISON ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CHANT CHANTERELLE,"NY, ",10013,6 HARRISON ST. NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
52,2CHIN,CHINATOWN BRASSERIE,380 LAFAYETTE STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CHIN CHINATOWN BRASSERIE,"NY, ",10003,380 LAFAYETTE STREET NEW YORK NY  10003 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,BOWERY,Metro,On premise,-73.9892,40.7313,"[-73.9892, 40.7313]"
53,2CHOW,CHINA ONE,50 AVENUE B,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CHOW CHINA ONE,"NY, ",10009,50 AVENUE B NEW YORK NY  10009 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,EAST VILLAGE,Metro,On premise,-73.9796,40.7262,"[-73.9796, 40.7262]"
54,2CIAO,CIAO,185 BLEEKER STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CIAO CIAO,"NY, ",10012,185 BLEEKER STREET NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
55,2CINQ,TRATTORIA CINQUE,"

363 367 GREENWICH STREET",NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CINQ TRATTORIA CINQUE,"NY, ",10013,"

363 367 GREENWICH STREET NEW YORK NY  10013 ",NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
56,2CIVE,CIVETTA RISTORANTE,98 KENMARE STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CIVE CIVETTA RISTORANTE,"NY, ",10012,98 KENMARE STREET NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
57,2COOP,COOPER SQUARE HOTEL LLC,25 COOPER SQUARE,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2COOP COOPER SQUARE HOTEL LLC,"NY, ",10003,25 COOPER SQUARE NEW YORK NY  10003 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,BOWERY,Metro,On premise,-73.9892,40.7313,"[-73.9892, 40.7313]"
58,2CORS,CORSINO,637 HUDSON STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CORS CORSINO,"NY, ",10014,637 HUDSON STREET NEW YORK NY  10014 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,GREENWICH VILLAGE,Metro,On premise,-74.0054,40.7339,"[-74.0054, 40.7339]"
59,2COST,COSTATA,415 WEST BROADWAY FLR 5S,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2COST COSTATA,"NY, ",10012,415 WEST BROADWAY FLR 5S NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
60,2CRAST,COLICCHIO & SONS,85 TENTH AVENUE,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CRAST COLICCHIO & SONS,"NY, ",10011,85 TENTH AVENUE NEW YORK NY  10011 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,CHELSEA,Metro,On premise,-73.9996,40.7402,"[-73.9996, 40.7402]"
61,2CUBRO,CUB ROOM,131 SULLIVAN ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2CUBRO CUB ROOM,"NY, ",10012,131 SULLIVAN ST. NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
62,2DAMIC,QUAKE,785 BROADWAY,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2DAMIC QUAKE,"NY, ",10003,785 BROADWAY NEW YORK NY  10003 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,BOWERY,Metro,On premise,-73.9892,40.7313,"[-73.9892, 40.7313]"
63,2DANDE,DANDELION RESTAURANT,200 9TH AVE.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2DANDE DANDELION RESTAURANT,"NY, ",10011,200 9TH AVE. NEW YORK NY  10011 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,CHELSEA,Metro,On premise,-73.9996,40.7402,"[-73.9996, 40.7402]"
64,2DANI,DANI RESTAURANT,333 HUDSON STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2DANI DANI RESTAURANT,"NY, ",10013,333 HUDSON STREET NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
65,2DANRE,DANIELLA RISTORANTE,320 8TH AVENUE,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2DANRE DANIELLA RISTORANTE,"NY, ",10001,320 8TH AVENUE NEW YORK NY  10001 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,CHELSEA,Metro,On premise,-73.9967,40.7484,"[-73.9967, 40.7484]"
66,2DAR,THE DARBY,244 W.14TH ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2DAR THE DARBY,"NY, ",10011,244 W.14TH ST. NEW YORK NY  10011 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,CHELSEA,Metro,On premise,-73.9996,40.7402,"[-73.9996, 40.7402]"
67,2DASRE,DA SILVANO,260 AVE.OF AMERICAS,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2DASRE DA SILVANO,"NY, ",10014,260 AVE.OF AMERICAS NEW YORK NY  10014 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,GREENWICH VILLAGE,Metro,On premise,-74.0054,40.7339,"[-74.0054, 40.7339]"
68,2DAVIT,DA VITTORIO,43 E. 20TH STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2DAVIT DA VITTORIO,"NY, ",10003,43 E. 20TH STREET NEW YORK NY  10003 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,BOWERY,Metro,On premise,-73.9892,40.7313,"[-73.9892, 40.7313]"
69,2DEG,900 DEGREES,29 7TH AVE. SOUTH,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2DEG 900 DEGREES,"NY, ",10014,29 7TH AVE. SOUTH NEW YORK NY  10014 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,GREENWICH VILLAGE,Metro,On premise,-74.0054,40.7339,"[-74.0054, 40.7339]"
