,No_,Name,Address,City,Customer Posting Group,Salesperson Code,Shipment Method Code,Country_Region Code,Gen_ Bus_ Posting Group,County,CityState,Customer,StateCountry,Post Code,GeoColumn With Address,GeoColumn,State Area Code,State Zone Code,State Location Code,Mkt Segment,On premise/off premise,longitude,latitude,coordinates
4063,2HOPS,HOPS-N-VINES LOUNGE,490 CENTER ST.,LEWISTON,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,LEWISTON NY,2HOPS HOPS-N-VINES LOUNGE,"NY, ",14092,490 CENTER ST. LEWISTON NY  14092 ,LEWISTON NY  ,BUFFALO,NIAGARA,LEWISTON,Metro,On premise,-79.0215,43.1722,"[-79.0215, 43.1722]"
4064,2HUDHO,HUDSON HOUSE OF NYACK,134 MAIN ST.,NYACK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NYACK NY,2HUDHO HUDSON HOUSE OF NYACK,"NY, ",10960,134 MAIN ST. NYACK NY  10960 ,NYACK NY  ,HUDSON VALLEY,ORANGE COUNTY,NYACK,Metro,On premise,-73.9252,41.0914,"[-73.9252, 41.0914]"
4065,2IANNE,IANNELLI RISTORANTE,99 CHESTNUT STREET,ONEONTA,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,ONEONTA NY,2IANNE IANNELLI RISTORANTE,"NY, ",13820,99 CHESTNUT STREET ONEONTA NY  13820 ,ONEONTA NY  ,ALBANY AREA,OTSEGO COUNTY,ONEONTA,Metro,On premise,-75.0491,42.4625,"[-75.0491, 42.4625]"
4066,2ILBAR,IL BARILOTTO RESTAURANT,1113 MAIN ST.,FISHKILL,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,FISHKILL NY,2ILBAR IL BARILOTTO RESTAURANT,"NY, ",12524,1113 MAIN ST. FISHKILL NY  12524 ,FISHKILL NY  ,HUDSON VALLEY,DUTCHESS COUNTY,FISHKILL,Metro,On premise,-73.8979,41.5404,"[-73.8979, 41.5404]"
4067,2ILCEN,IL CENA'COLA,228 SOUTH PLANK RD.,NEWBURGH,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEWBURGH NY,2ILCEN IL CENA'COLA,"NY, ",12550,228 SOUTH PLANK RD. NEWBURGH NY  12550 ,NEWBURGH NY  ,HUDSON VALLEY,ORANGE COUNTY,NEWBURGH,Metro,On premise,-74.0526,41.5372,"[-74.0526, 41.5372]"
4068,2ILFIO,ARCOBALENO RISTORANTE,8485 TRANSIT RD.,EAST AMHERST,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,EAST AMHERST NY,2ILFIO ARCOBALENO RISTORANTE,"NY, ",14051,8485 TRANSIT RD. EAST AMHERST NY  14051 ,EAST AMHERST NY  ,BUFFALO,ERIE,EAST AMHERST,Metro,On premise,-78.6988,43.0429,"[-78.6988, 43.0429]"
4069,2ITALI,L'ITALIANO TRATTORIA,21601 HORACE HARDING,BAYSIDE,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,BAYSIDE NY,2ITALI L'ITALIANO TRATTORIA,"NY, ",11364,21601 HORACE HARDING BAYSIDE NY  11364 ,BAYSIDE NY  ,QUEENS,NORTHEAST QUEENS,BAYSIDE,Metro,On premise,-73.7588,40.7428,"[-73.7588, 40.7428]"
4070,2JOSE,JOSEPH'S CATERING SERVICE,275 COLUMBIA AVE.,DEPEW,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,DEPEW NY,2JOSE JOSEPH'S CATERING SERVICE,"NY, ",14043,275 COLUMBIA AVE. DEPEW NY  14043 ,DEPEW NY  ,BUFFALO,ERIE,DEPEW,Metro,On premise,-78.7041,42.905,"[-78.7041, 42.905]"
4071,2KATH,VINOS,1652 ELMWOOD AVENUE,BUFFALO,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,BUFFALO NY,2KATH VINOS,"NY, ",14207,1652 ELMWOOD AVENUE BUFFALO NY  14207 ,BUFFALO NY  ,BUFFALO,ERIE,BUFFALO,Metro,On premise,-78.8978,42.9491,"[-78.8978, 42.9491]"
4072,2LAB,LA BELLA VITA,1759 EMPIRE BLVD.,WEBSTER,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,WEBSTER NY,2LAB LA BELLA VITA,"NY, ",14580,1759 EMPIRE BLVD. WEBSTER NY  14580 ,WEBSTER NY  ,ROCHESTER,MONROE,WEBSTER,Metro,On premise,-77.4616,43.2196,"[-77.4616, 43.2196]"
